ticket_id,title,category,priority,status,assignee,created_at,resolved_at,description
OPS-1001,Terraform apply failing on state lock,infrastructure,P1,in_progress,a.patel,2025-08-17 04:00:00,,"Terraform apply failing on state lock. Reported in production environment, affecting 1 service."
OPS-1002,Redis connection refused after restart,infrastructure,P1,open,unassigned,2025-08-27 16:00:00,,"Redis connection refused after restart. Reported in production environment, affecting 1 service."
OPS-1003,CI/CD pipeline failing at Docker build stage,infrastructure,P3,resolved,m.santos,2026-03-06 07:00:00,2026-03-11 02:00:00,"CI/CD pipeline failing at Docker build stage. Reported in production environment, affecting 1 service."
OPS-1004,"Rolling update stuck, old pods not terminating",kubernetes,P3,open,unassigned,2025-08-09 10:00:00,,"Rolling update stuck, old pods not terminating. Reported in production environment, affecting 1 service."
OPS-1005,ConfigMap changes not reflected in running pods,kubernetes,P1,closed,r.oconnor,2025-09-28 01:00:00,2025-10-05 20:00:00,"ConfigMap changes not reflected in running pods. Reported in production environment, affecting 1 service."
OPS-1006,Async endpoint timing out under concurrent load,fastapi,P3,closed,a.patel,2026-01-06 18:00:00,2026-01-08 20:00:00,"Async endpoint timing out under concurrent load. Reported in production environment, affecting 1 service."
OPS-1007,CI/CD pipeline failing at Docker build stage,infrastructure,P4,closed,m.santos,2025-08-27 03:00:00,2025-08-31 05:00:00,"CI/CD pipeline failing at Docker build stage. Reported in production environment, affecting all users in us-east-1."
OPS-1008,SSL certificate expired on production endpoint,infrastructure,P2,in_progress,a.patel,2025-10-01 22:00:00,,"SSL certificate expired on production endpoint. Reported in production environment, affecting multiple services."
OPS-1009,High latency reported on API gateway,infrastructure,P2,in_progress,j.kim,2025-10-04 20:00:00,,"High latency reported on API gateway. Reported in production environment, affecting a subset of users."
OPS-1010,Persistent volume claim stuck in Pending state,kubernetes,P4,closed,j.kim,2026-02-15 08:00:00,2026-02-16 01:00:00,"Persistent volume claim stuck in Pending state. Reported in production environment, affecting a subset of users."
OPS-1011,DNS resolution failing inside cluster,kubernetes,P3,closed,j.kim,2026-04-15 04:00:00,2026-04-18 00:00:00,"DNS resolution failing inside cluster. Reported in production environment, affecting multiple services."
OPS-1012,S3 bucket access denied from EC2 instance,infrastructure,P3,resolved,m.santos,2026-03-15 18:00:00,2026-03-20 01:00:00,"S3 bucket access denied from EC2 instance. Reported in production environment, affecting multiple services."
OPS-1013,OOMKilled errors on production workload,kubernetes,P3,closed,j.kim,2025-04-23 04:00:00,2025-04-29 21:00:00,"OOMKilled errors on production workload. Reported in production environment, affecting all users in us-east-1."
OPS-1014,Terraform apply failing on state lock,infrastructure,P3,resolved,a.patel,2026-04-25 16:00:00,2026-04-28 09:00:00,"Terraform apply failing on state lock. Reported in production environment, affecting 1 service."
OPS-1015,S3 bucket access denied from EC2 instance,infrastructure,P4,closed,r.oconnor,2025-12-15 03:00:00,2025-12-18 07:00:00,"S3 bucket access denied from EC2 instance. Reported in production environment, affecting multiple services."
OPS-1016,Dependency injection raising 422 on valid request,fastapi,P4,closed,j.kim,2025-09-27 16:00:00,2025-10-05 20:00:00,"Dependency injection raising 422 on valid request. Reported in production environment, affecting 1 service."
OPS-1017,SSL certificate expired on production endpoint,infrastructure,P4,resolved,j.kim,2025-07-23 04:00:00,2025-07-27 04:00:00,"SSL certificate expired on production endpoint. Reported in production environment, affecting 1 service."
OPS-1018,SSL certificate expired on production endpoint,infrastructure,P3,open,unassigned,2026-01-07 09:00:00,,"SSL certificate expired on production endpoint. Reported in production environment, affecting multiple services."
OPS-1019,Persistent volume claim stuck in Pending state,kubernetes,P4,closed,a.patel,2025-03-29 23:00:00,2025-04-04 04:00:00,"Persistent volume claim stuck in Pending state. Reported in production environment, affecting multiple services."
OPS-1020,DNS resolution failing inside cluster,kubernetes,P3,resolved,r.oconnor,2025-09-29 16:00:00,2025-10-09 00:00:00,"DNS resolution failing inside cluster. Reported in production environment, affecting multiple services."
OPS-1021,High latency reported on API gateway,infrastructure,P3,resolved,m.santos,2026-02-13 21:00:00,2026-02-20 20:00:00,"High latency reported on API gateway. Reported in production environment, affecting all users in us-east-1."
OPS-1022,Redis connection refused after restart,infrastructure,P2,open,unassigned,2025-12-13 00:00:00,,"Redis connection refused after restart. Reported in production environment, affecting multiple services."
OPS-1023,CI/CD pipeline failing at Docker build stage,infrastructure,P1,closed,a.patel,2025-03-02 07:00:00,2025-03-03 01:00:00,"CI/CD pipeline failing at Docker build stage. Reported in production environment, affecting a subset of users."
OPS-1024,OOMKilled errors on production workload,kubernetes,P2,resolved,r.oconnor,2025-08-08 17:00:00,2025-08-10 03:00:00,"OOMKilled errors on production workload. Reported in production environment, affecting multiple services."
OPS-1025,Authentication middleware not applied to subroute,fastapi,P2,open,unassigned,2026-03-18 11:00:00,,"Authentication middleware not applied to subroute. Reported in production environment, affecting all users in us-east-1."
OPS-1026,WebSocket connection dropping after 60 seconds,fastapi,P4,open,unassigned,2025-04-11 01:00:00,,"WebSocket connection dropping after 60 seconds. Reported in production environment, affecting all users in us-east-1."
OPS-1027,SSL certificate expired on production endpoint,infrastructure,P4,open,unassigned,2025-07-16 06:00:00,,"SSL certificate expired on production endpoint. Reported in production environment, affecting all users in us-east-1."
OPS-1028,ConfigMap changes not reflected in running pods,kubernetes,P2,in_progress,a.patel,2025-03-19 14:00:00,,"ConfigMap changes not reflected in running pods. Reported in production environment, affecting 1 service."
OPS-1029,S3 bucket access denied from EC2 instance,infrastructure,P4,closed,r.oconnor,2025-08-31 05:00:00,2025-09-04 14:00:00,"S3 bucket access denied from EC2 instance. Reported in production environment, affecting all users in us-east-1."
OPS-1030,ConfigMap changes not reflected in running pods,kubernetes,P4,open,unassigned,2025-01-03 12:00:00,,"ConfigMap changes not reflected in running pods. Reported in production environment, affecting a subset of users."
OPS-1031,Background task not executing after response sent,fastapi,P3,closed,m.santos,2026-05-14 04:00:00,2026-05-16 05:00:00,"Background task not executing after response sent. Reported in production environment, affecting multiple services."
OPS-1032,RBAC permission denied for service account,kubernetes,P3,open,unassigned,2025-11-18 01:00:00,,"RBAC permission denied for service account. Reported in production environment, affecting 1 service."
OPS-1033,Redis connection refused after restart,infrastructure,P3,closed,a.patel,2025-06-11 01:00:00,2025-06-16 12:00:00,"Redis connection refused after restart. Reported in production environment, affecting multiple services."
OPS-1034,RBAC permission denied for service account,kubernetes,P1,closed,j.kim,2026-02-18 03:00:00,2026-02-27 15:00:00,"RBAC permission denied for service account. Reported in production environment, affecting 1 service."
OPS-1035,Terraform apply failing on state lock,infrastructure,P3,resolved,m.santos,2025-11-20 08:00:00,2025-11-22 13:00:00,"Terraform apply failing on state lock. Reported in production environment, affecting multiple services."
OPS-1036,Authentication middleware not applied to subroute,fastapi,P2,resolved,a.patel,2026-04-14 10:00:00,2026-04-24 08:00:00,"Authentication middleware not applied to subroute. Reported in production environment, affecting 1 service."
OPS-1037,"Database session not closing, connection pool exhausted",fastapi,P4,closed,m.santos,2025-03-17 17:00:00,2025-03-20 00:00:00,"Database session not closing, connection pool exhausted. Reported in production environment, affecting multiple services."
OPS-1038,Async endpoint timing out under concurrent load,fastapi,P4,in_progress,m.santos,2025-06-11 14:00:00,,"Async endpoint timing out under concurrent load. Reported in production environment, affecting 1 service."
OPS-1039,S3 bucket access denied from EC2 instance,infrastructure,P2,resolved,a.patel,2025-05-18 08:00:00,2025-05-19 14:00:00,"S3 bucket access denied from EC2 instance. Reported in production environment, affecting multiple services."
OPS-1040,Background task not executing after response sent,fastapi,P3,resolved,m.santos,2025-07-28 21:00:00,2025-08-04 16:00:00,"Background task not executing after response sent. Reported in production environment, affecting all users in us-east-1."
OPS-1041,Dependency injection raising 422 on valid request,fastapi,P1,resolved,m.santos,2025-10-11 01:00:00,2025-10-11 02:00:00,"Dependency injection raising 422 on valid request. Reported in production environment, affecting multiple services."
OPS-1042,SSL certificate expired on production endpoint,infrastructure,P2,in_progress,a.patel,2026-03-14 17:00:00,,"SSL certificate expired on production endpoint. Reported in production environment, affecting 1 service."
OPS-1043,"Rolling update stuck, old pods not terminating",kubernetes,P4,resolved,j.kim,2026-01-14 18:00:00,2026-01-20 16:00:00,"Rolling update stuck, old pods not terminating. Reported in production environment, affecting all users in us-east-1."
OPS-1044,Pod stuck in CrashLoopBackOff after deployment,kubernetes,P2,closed,j.kim,2025-02-10 11:00:00,2025-02-12 17:00:00,"Pod stuck in CrashLoopBackOff after deployment. Reported in production environment, affecting 1 service."
OPS-1045,File upload endpoint failing for large files,fastapi,P4,in_progress,j.kim,2025-06-08 07:00:00,,"File upload endpoint failing for large files. Reported in production environment, affecting multiple services."
OPS-1046,Dependency injection raising 422 on valid request,fastapi,P2,closed,j.kim,2026-02-26 21:00:00,2026-03-08 03:00:00,"Dependency injection raising 422 on valid request. Reported in production environment, affecting a subset of users."
OPS-1047,"Rolling update stuck, old pods not terminating",kubernetes,P2,closed,r.oconnor,2026-04-27 07:00:00,2026-04-29 11:00:00,"Rolling update stuck, old pods not terminating. Reported in production environment, affecting a subset of users."
OPS-1048,Pydantic validation error on nested models,fastapi,P2,resolved,a.patel,2026-02-13 10:00:00,2026-02-16 10:00:00,"Pydantic validation error on nested models. Reported in production environment, affecting a subset of users."
OPS-1049,File upload endpoint failing for large files,fastapi,P3,closed,m.santos,2025-12-06 00:00:00,2025-12-07 06:00:00,"File upload endpoint failing for large files. Reported in production environment, affecting multiple services."
OPS-1050,SSL certificate expired on production endpoint,infrastructure,P1,resolved,m.santos,2025-12-20 23:00:00,2025-12-29 09:00:00,"SSL certificate expired on production endpoint. Reported in production environment, affecting all users in us-east-1."
OPS-1051,S3 bucket access denied from EC2 instance,infrastructure,P2,closed,r.oconnor,2025-07-14 08:00:00,2025-07-14 20:00:00,"S3 bucket access denied from EC2 instance. Reported in production environment, affecting 1 service."
OPS-1052,S3 bucket access denied from EC2 instance,infrastructure,P3,closed,a.patel,2025-07-21 11:00:00,2025-07-26 02:00:00,"S3 bucket access denied from EC2 instance. Reported in production environment, affecting a subset of users."
OPS-1053,SSL certificate expired on production endpoint,infrastructure,P3,open,unassigned,2025-11-04 16:00:00,,"SSL certificate expired on production endpoint. Reported in production environment, affecting a subset of users."
OPS-1054,Redis connection refused after restart,infrastructure,P2,resolved,r.oconnor,2025-05-11 06:00:00,2025-05-15 18:00:00,"Redis connection refused after restart. Reported in production environment, affecting multiple services."
OPS-1055,S3 bucket access denied from EC2 instance,infrastructure,P2,resolved,j.kim,2025-01-01 09:00:00,2025-01-04 11:00:00,"S3 bucket access denied from EC2 instance. Reported in production environment, affecting all users in us-east-1."
OPS-1056,S3 bucket access denied from EC2 instance,infrastructure,P3,in_progress,j.kim,2026-03-29 21:00:00,,"S3 bucket access denied from EC2 instance. Reported in production environment, affecting all users in us-east-1."
OPS-1057,CI/CD pipeline failing at Docker build stage,infrastructure,P3,open,unassigned,2025-12-10 02:00:00,,"CI/CD pipeline failing at Docker build stage. Reported in production environment, affecting multiple services."
OPS-1058,SSL certificate expired on production endpoint,infrastructure,P2,open,unassigned,2025-01-26 01:00:00,,"SSL certificate expired on production endpoint. Reported in production environment, affecting multiple services."
OPS-1059,"Database session not closing, connection pool exhausted",fastapi,P4,open,unassigned,2026-03-01 20:00:00,,"Database session not closing, connection pool exhausted. Reported in production environment, affecting multiple services."
OPS-1060,High latency reported on API gateway,infrastructure,P3,in_progress,a.patel,2025-06-01 20:00:00,,"High latency reported on API gateway. Reported in production environment, affecting 1 service."
OPS-1061,Pydantic validation error on nested models,fastapi,P2,closed,j.kim,2026-06-15 14:00:00,2026-06-16 03:00:00,"Pydantic validation error on nested models. Reported in production environment, affecting 1 service."
OPS-1062,CORS errors blocking frontend requests,fastapi,P4,resolved,r.oconnor,2025-11-21 14:00:00,2025-11-28 03:00:00,"CORS errors blocking frontend requests. Reported in production environment, affecting all users in us-east-1."
OPS-1063,"Rolling update stuck, old pods not terminating",kubernetes,P4,in_progress,m.santos,2025-09-11 20:00:00,,"Rolling update stuck, old pods not terminating. Reported in production environment, affecting all users in us-east-1."
OPS-1064,CI/CD pipeline failing at Docker build stage,infrastructure,P2,open,unassigned,2025-10-20 07:00:00,,"CI/CD pipeline failing at Docker build stage. Reported in production environment, affecting a subset of users."
OPS-1065,OpenAPI docs not rendering for new router,fastapi,P4,open,unassigned,2025-06-04 07:00:00,,"OpenAPI docs not rendering for new router. Reported in production environment, affecting all users in us-east-1."
OPS-1066,CI/CD pipeline failing at Docker build stage,infrastructure,P3,open,unassigned,2026-02-22 10:00:00,,"CI/CD pipeline failing at Docker build stage. Reported in production environment, affecting all users in us-east-1."
OPS-1067,Dependency injection raising 422 on valid request,fastapi,P2,in_progress,r.oconnor,2025-01-21 18:00:00,,"Dependency injection raising 422 on valid request. Reported in production environment, affecting all users in us-east-1."
OPS-1068,Horizontal Pod Autoscaler not scaling under load,kubernetes,P2,in_progress,j.kim,2026-03-06 17:00:00,,"Horizontal Pod Autoscaler not scaling under load. Reported in production environment, affecting all users in us-east-1."
OPS-1069,Node showing NotReady status intermittently,kubernetes,P3,open,unassigned,2025-12-11 21:00:00,,"Node showing NotReady status intermittently. Reported in production environment, affecting all users in us-east-1."
OPS-1070,CI/CD pipeline failing at Docker build stage,infrastructure,P4,closed,a.patel,2025-01-28 12:00:00,2025-02-03 20:00:00,"CI/CD pipeline failing at Docker build stage. Reported in production environment, affecting 1 service."
OPS-1071,Redis connection refused after restart,infrastructure,P2,in_progress,r.oconnor,2025-02-21 08:00:00,,"Redis connection refused after restart. Reported in production environment, affecting a subset of users."
OPS-1072,Ingress returning 502 Bad Gateway,kubernetes,P2,closed,r.oconnor,2026-01-24 08:00:00,2026-02-01 09:00:00,"Ingress returning 502 Bad Gateway. Reported in production environment, affecting a subset of users."
OPS-1073,Ingress returning 502 Bad Gateway,kubernetes,P1,resolved,a.patel,2025-12-25 07:00:00,2026-01-01 06:00:00,"Ingress returning 502 Bad Gateway. Reported in production environment, affecting 1 service."
OPS-1074,Persistent volume claim stuck in Pending state,kubernetes,P2,open,unassigned,2025-06-06 07:00:00,,"Persistent volume claim stuck in Pending state. Reported in production environment, affecting multiple services."
OPS-1075,Async endpoint timing out under concurrent load,fastapi,P3,open,unassigned,2025-09-20 11:00:00,,"Async endpoint timing out under concurrent load. Reported in production environment, affecting multiple services."
OPS-1076,S3 bucket access denied from EC2 instance,infrastructure,P4,resolved,a.patel,2025-06-17 09:00:00,2025-06-18 13:00:00,"S3 bucket access denied from EC2 instance. Reported in production environment, affecting a subset of users."
OPS-1077,High latency reported on API gateway,infrastructure,P4,in_progress,j.kim,2025-07-23 02:00:00,,"High latency reported on API gateway. Reported in production environment, affecting 1 service."
OPS-1078,SSL certificate expired on production endpoint,infrastructure,P4,resolved,a.patel,2025-05-04 18:00:00,2025-05-13 03:00:00,"SSL certificate expired on production endpoint. Reported in production environment, affecting a subset of users."
OPS-1079,Redis connection refused after restart,infrastructure,P3,open,unassigned,2025-12-16 00:00:00,,"Redis connection refused after restart. Reported in production environment, affecting all users in us-east-1."
OPS-1080,Async endpoint timing out under concurrent load,fastapi,P3,in_progress,j.kim,2026-04-16 22:00:00,,"Async endpoint timing out under concurrent load. Reported in production environment, affecting all users in us-east-1."
OPS-1081,"Rolling update stuck, old pods not terminating",kubernetes,P3,resolved,m.santos,2026-05-11 14:00:00,2026-05-16 06:00:00,"Rolling update stuck, old pods not terminating. Reported in production environment, affecting a subset of users."
OPS-1082,ImagePullBackOff error on new container image,kubernetes,P2,in_progress,r.oconnor,2026-04-21 18:00:00,,"ImagePullBackOff error on new container image. Reported in production environment, affecting a subset of users."
OPS-1083,Ingress returning 502 Bad Gateway,kubernetes,P4,open,unassigned,2025-08-06 11:00:00,,"Ingress returning 502 Bad Gateway. Reported in production environment, affecting a subset of users."
OPS-1084,Background task not executing after response sent,fastapi,P4,resolved,j.kim,2025-10-10 17:00:00,2025-10-10 20:00:00,"Background task not executing after response sent. Reported in production environment, affecting 1 service."
OPS-1085,"Rolling update stuck, old pods not terminating",kubernetes,P3,resolved,r.oconnor,2025-09-04 22:00:00,2025-09-10 00:00:00,"Rolling update stuck, old pods not terminating. Reported in production environment, affecting all users in us-east-1."
OPS-1086,ImagePullBackOff error on new container image,kubernetes,P2,in_progress,m.santos,2025-09-07 09:00:00,,"ImagePullBackOff error on new container image. Reported in production environment, affecting all users in us-east-1."
OPS-1087,S3 bucket access denied from EC2 instance,infrastructure,P2,closed,r.oconnor,2025-12-05 11:00:00,2025-12-12 23:00:00,"S3 bucket access denied from EC2 instance. Reported in production environment, affecting a subset of users."
OPS-1088,Background task not executing after response sent,fastapi,P2,resolved,j.kim,2025-11-20 03:00:00,2025-11-28 02:00:00,"Background task not executing after response sent. Reported in production environment, affecting multiple services."
OPS-1089,"Rolling update stuck, old pods not terminating",kubernetes,P3,resolved,j.kim,2025-10-17 03:00:00,2025-10-26 01:00:00,"Rolling update stuck, old pods not terminating. Reported in production environment, affecting a subset of users."
OPS-1090,Horizontal Pod Autoscaler not scaling under load,kubernetes,P2,open,unassigned,2025-05-10 08:00:00,,"Horizontal Pod Autoscaler not scaling under load. Reported in production environment, affecting 1 service."
OPS-1091,OOMKilled errors on production workload,kubernetes,P2,closed,a.patel,2026-05-18 03:00:00,2026-05-27 11:00:00,"OOMKilled errors on production workload. Reported in production environment, affecting a subset of users."
OPS-1092,WebSocket connection dropping after 60 seconds,fastapi,P3,open,unassigned,2025-02-22 08:00:00,,"WebSocket connection dropping after 60 seconds. Reported in production environment, affecting all users in us-east-1."
OPS-1093,ImagePullBackOff error on new container image,kubernetes,P3,open,unassigned,2025-02-24 04:00:00,,"ImagePullBackOff error on new container image. Reported in production environment, affecting multiple services."
OPS-1094,SSL certificate expired on production endpoint,infrastructure,P1,in_progress,j.kim,2026-03-03 19:00:00,,"SSL certificate expired on production endpoint. Reported in production environment, affecting all users in us-east-1."
OPS-1095,WebSocket connection dropping after 60 seconds,fastapi,P2,resolved,a.patel,2026-03-16 09:00:00,2026-03-22 11:00:00,"WebSocket connection dropping after 60 seconds. Reported in production environment, affecting 1 service."
OPS-1096,DNS resolution failing inside cluster,kubernetes,P2,resolved,a.patel,2025-06-10 07:00:00,2025-06-12 04:00:00,"DNS resolution failing inside cluster. Reported in production environment, affecting multiple services."
OPS-1097,ConfigMap changes not reflected in running pods,kubernetes,P3,resolved,m.santos,2025-10-26 01:00:00,2025-10-28 13:00:00,"ConfigMap changes not reflected in running pods. Reported in production environment, affecting a subset of users."
OPS-1098,Redis connection refused after restart,infrastructure,P1,in_progress,j.kim,2025-09-28 20:00:00,,"Redis connection refused after restart. Reported in production environment, affecting all users in us-east-1."
